time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-07-11T17:10:18.200Z,37.097,137.519,251.1,4.4,mb,38,84.9,,0.75,us,usp000ffzr,2014-11-07T01:32:56.549Z,"17 km N of Ny?zen, Japan",earthquake,,5.2,,18,reviewed,us,us
2007-07-19T23:58:44.290Z,36.978,136.792,15,4.2,mb,9,114.9,,1.34,us,usp000fgp1,2014-11-07T01:33:00.828Z,"10 km N of Hakui, Japan",earthquake,,0,,3,reviewed,us,us
2007-08-10T22:04:41.020Z,37.29,136.741,7.6,3.4,m,8,118.2,,,us,usp000fjc4,2014-11-07T01:33:14.148Z,"33 km NW of Nanao, Japan",earthquake,,,,,reviewed,jma,jma
2007-08-11T03:15:25.050Z,37.529,137.485,17.6,3.9,mb,6,120.8,,1.66,us,usp000fjcu,2014-11-07T01:33:14.196Z,"63 km NNW of Itoigawa, Japan",earthquake,,20.1,,1,reviewed,us,us
2007-08-19T19:33:58.440Z,36.28,137.166,265.2,4.6,mb,21,110.7,,,us,usp000fk7n,2014-11-07T01:33:19.485Z,"17 km NNW of Takayama, Japan",earthquake,,,,2,reviewed,jma,us
2008-01-25T19:33:24.890Z,37.247,136.706,11.3,4.6,mwr,79,67.6,,0.88,us,usp000fxf4,2022-07-13T22:42:52.708Z,"31 km NW of Nanao, Japan",earthquake,,8.8,,,reviewed,us,nied
2008-02-03T18:59:23.190Z,37.066,137.177,267.9,4.3,mb,24,70.9,,,us,usp000fy37,2014-11-07T01:34:53.303Z,"near the west coast of Honshu, Japan",earthquake,,,,7,reviewed,jma,us
2008-03-26T04:59:46.650Z,36.854,136.351,35,3.7,mb,7,123.7,,0.72,us,usp000g2cr,2014-11-07T01:35:19.376Z,"36 km NW of Kanazawa, Japan",earthquake,,,,2,reviewed,us,us
2008-04-16T09:46:35.180Z,37.118,136.416,8.2,4.1,m,8,194.2,,,us,usp000g42e,2014-11-07T01:35:38.151Z,"41 km NW of Hakui, Japan",earthquake,,,,,reviewed,jma,jma
2008-05-01T20:46:20.820Z,37.252,136.711,10,4.1,mb,11,76.9,,1.02,us,usp000g596,2014-11-07T01:35:48.755Z,"31 km NW of Nanao, Japan",earthquake,,0,,2,reviewed,us,us
2008-09-13T20:37:03.750Z,36.494,136.544,257.9,3.7,mb,9,119.2,,1.08,us,usp000gh06,2014-11-07T01:37:11.843Z,"3 km SW of Matsut?, Japan",earthquake,,9.8,,2,reviewed,us,us
2008-10-04T11:34:24.840Z,36.284,137.182,267.5,3.4,m,15,110.8,,,us,usp000gja1,2014-11-07T01:37:23.500Z,"17 km NNW of Takayama, Japan",earthquake,,,,,reviewed,jma,jma
2008-12-31T13:54:21.460Z,37.09,137.491,244.9,4.4,mb,63,78.9,,0.93,us,usp000grx8,2014-11-07T01:38:04.877Z,"16 km N of Ny?zen, Japan",earthquake,,4.5,,24,reviewed,us,us
2011-05-16T18:05:03.800Z,36.464,137.641,3,4.2,mb,31,70.9,,0.99,us,usp000j1ps,2014-11-07T01:44:51.729Z,"20 km W of ?machi, Japan",earthquake,,9,,4,reviewed,us,us
2011-10-05T10:00:01.440Z,36.478,137.593,10,5.3,mwc,219,68.3,,1.13,us,usp000j8y5,2022-04-08T22:22:16.492Z,"24 km W of ?machi, Japan",earthquake,,,,,reviewed,us,gcmt
2011-10-05T10:06:13.770Z,36.49,137.384,13.1,5.2,mwc,202,54.4,,0.9,us,usp000j8y6,2022-09-06T12:32:57.054Z,"eastern Honshu, Japan",earthquake,,7.1,,,reviewed,us,gcmt
